"date","year","gdp_growth"
1961-12-31,1961,5.00000000072309
1962-12-31,1962,4.66441467253127
1963-12-31,1963,8.10688692761114
1964-12-31,1964,11.9054807657866
1965-12-31,1965,7.09999999747173
1966-12-31,1966,6.09613930256681
1967-12-31,1967,5.85492487897324
1968-12-31,1968,9.42327881831926
1969-12-31,1969,3.41862002349839
1970-12-31,1970,6.50248403469675
1971-12-31,1971,3.76246768495716
1972-12-31,1972,8.22880731245257
1973-12-31,1973,7.86111986063614
1974-12-31,1974,5.77682723020618
1975-12-31,1975,5.74448504862428
1976-12-31,1976,4.41744413626853
1977-12-31,1977,3.39063970656844
1978-12-31,1978,8.95694232786306
1979-12-31,1979,9.69817013704461
1980-12-31,1980,8.75662242586424
1981-12-31,1981,9.58584115454994
1982-12-31,1982,-0.0495863656386035
1983-12-31,1983,-4.62412795987231
1984-12-31,1984,3.51341334932273
1985-12-31,1985,1.91921578613494
1986-12-31,1986,-3.92995990782299
1987-12-31,1987,2.06336322631584
1988-12-31,1988,1.21826122938586
1989-12-31,1989,3.62544873456009
1990-12-31,1990,5.25004329944582
1991-12-31,1991,3.97590497138043
1992-12-31,1992,3.56861354412243
1993-12-31,1993,2.86699945461075
1994-12-31,1994,4.39412788764169
1995-12-31,1995,-5.91029962358286
1996-12-31,1996,6.21829715869302
1997-12-31,1997,7.19887615284711
1998-12-31,1998,6.18507893082885
1999-12-31,1999,2.75503039300564
2000-12-31,2000,5.02928399378261
2001-12-31,2001,-0.450845253215945
2002-12-31,2002,-0.236588001922641
2003-12-31,2003,1.18554486709559
2004-12-31,2004,3.56544102622887
2005-12-31,2005,2.11324711473297
2006-12-31,2006,4.80501351664901
2007-12-31,2007,2.0778639395329
2008-12-31,2008,0.943331872912935
2009-12-31,2009,-6.29525056697287
2010-12-31,2010,4.9713345832195
2011-12-31,2011,3.44404505297089
2012-12-31,2012,3.55321076010608
2013-12-31,2013,0.852101550164704
2014-12-31,2014,2.50376350783593
2015-12-31,2015,2.70232343024026
2016-12-31,2016,1.7724932254128
2017-12-31,2017,1.87172854648381
2018-12-31,2018,1.97208211101069
2019-12-31,2019,-0.392690513290532
2020-12-31,2020,-8.35403459379062
2021-12-31,2021,6.04848347173572
2022-12-31,2022,3.70975708309098
2023-12-31,2023,3.1067964131456
2024-12-31,2024,1.35057631384696
2025-12-31,2025,0.561683456144578
