"date","ticker","open","high","low","close","adjusted","volume","source"
2000-01-18,"ALSEA.MX",2.8734,2.8978,2.8734,2.8978,1.9729,8213,"yahoo"
2000-01-19,"ALSEA.MX",2.8978,2.8978,2.8978,2.8978,1.9729,0,"yahoo"
2000-01-20,"ALSEA.MX",2.8978,2.8978,2.8978,2.8978,1.9729,0,"yahoo"
2000-01-21,"ALSEA.MX",2.8978,2.8978,2.8978,2.8978,1.9729,0,"yahoo"
2000-01-24,"ALSEA.MX",2.8978,2.8978,2.8978,2.8978,1.9729,0,"yahoo"
2000-01-25,"ALSEA.MX",2.8978,2.8978,2.8978,2.8978,1.9729,0,"yahoo"
2000-01-26,"ALSEA.MX",2.8978,2.8978,2.8978,2.8978,1.9729,0,"yahoo"
2000-01-27,"ALSEA.MX",2.8978,2.8978,2.8978,2.8978,1.9729,0,"yahoo"
2000-01-28,"ALSEA.MX",2.8978,2.8978,2.8978,2.8978,1.9729,0,"yahoo"
2000-01-31,"ALSEA.MX",2.8978,2.8978,2.8978,2.8978,1.9729,0,"yahoo"
2000-02-01,"ALSEA.MX",2.8978,2.8978,2.8978,2.8978,1.9729,0,"yahoo"
2000-02-02,"ALSEA.MX",2.8978,2.8978,2.8978,2.8978,1.9729,0,"yahoo"
2000-02-03,"ALSEA.MX",2.8978,2.8978,2.8978,2.8978,1.9729,0,"yahoo"
2000-02-04,"ALSEA.MX",2.8978,2.8978,2.8978,2.8978,1.9729,0,"yahoo"
2000-02-07,"ALSEA.MX",2.8978,2.8978,2.8978,2.8978,1.9729,0,"yahoo"
2000-02-08,"ALSEA.MX",2.8978,2.8978,2.8978,2.8978,1.9729,0,"yahoo"
2000-02-09,"ALSEA.MX",2.8978,2.8978,2.8978,2.8978,1.9729,0,"yahoo"
2000-02-10,"ALSEA.MX",2.8978,2.8978,2.8978,2.8978,1.9729,0,"yahoo"
2000-02-11,"ALSEA.MX",2.6786,2.6786,2.6786,2.6786,1.8237,57492,"yahoo"
2000-02-14,"ALSEA.MX",2.6786,2.6786,2.6786,2.6786,1.8237,0,"yahoo"
2000-02-15,"ALSEA.MX",2.6786,2.6786,2.6786,2.6786,1.8237,0,"yahoo"
2000-02-16,"ALSEA.MX",2.6786,2.6786,2.6786,2.6786,1.8237,0,"yahoo"
2000-02-17,"ALSEA.MX",2.6786,2.6786,2.6786,2.6786,1.8237,0,"yahoo"
2000-02-18,"ALSEA.MX",2.6786,2.6786,2.6786,2.6786,1.8237,0,"yahoo"
2000-02-21,"ALSEA.MX",2.6786,2.6786,2.6786,2.6786,1.8237,0,"yahoo"
2000-02-22,"ALSEA.MX",2.6786,2.6786,2.6786,2.6786,1.8237,0,"yahoo"
2000-02-23,"ALSEA.MX",2.6786,2.6786,2.6786,2.6786,1.8237,0,"yahoo"
2000-02-24,"ALSEA.MX",2.6786,2.6786,2.6786,2.6786,1.8237,0,"yahoo"
2000-02-25,"ALSEA.MX",2.6786,2.6786,2.6786,2.6786,1.8237,0,"yahoo"
2000-02-28,"ALSEA.MX",2.6786,2.6786,2.6786,2.6786,1.8237,0,"yahoo"
2000-02-29,"ALSEA.MX",2.6786,2.6786,2.6786,2.6786,1.8237,0,"yahoo"
2000-03-01,"ALSEA.MX",2.4351,2.4351,2.4302,2.4302,1.6546,86238,"yahoo"
2000-03-02,"ALSEA.MX",2.3133,2.3133,2.1916,2.1916,1.4921,595457,"yahoo"
2000-03-03,"ALSEA.MX",2.1916,2.1916,2.1916,2.1916,1.4921,143731,"yahoo"
2000-03-06,"ALSEA.MX",2.1916,2.1916,2.1916,2.1916,1.4921,657056,"yahoo"
2000-03-07,"ALSEA.MX",2.1916,2.1916,2.1916,2.1916,1.4921,123198,"yahoo"
2000-03-08,"ALSEA.MX",2.1916,2.1916,2.1916,2.1916,1.4921,3720579,"yahoo"
