"date","series","value","label"
2008-01-21,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-01-22,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-01-23,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-01-24,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-01-25,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-01-28,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-01-29,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-01-30,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-01-31,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-02-01,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-02-05,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-02-06,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-02-07,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-02-08,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-02-11,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-02-12,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-02-13,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-02-14,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-02-15,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-02-18,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-02-19,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-02-20,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-02-21,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-02-22,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-02-25,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-02-26,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-02-27,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-02-28,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-02-29,"SF61745",7.5,"Tasa objetivo Banco de México"
2008-03-03,"SF61745",7.5,"Tasa objetivo Banco de México"
